# G10 §H golden baselines — background pipeline
# texture size 512, default tolerance 30, fill #EE3333
# picture | variant | out bytes | ms | sha256 | vs baseline
5_periodic_table.png | off | 163920 | 4017 | e3f7419a118e854b527a5706091ac5612392100e45eb518e5e1a067c5946d03d | identical
5_periodic_table.png | edges | 146789 | 11171 | 661404f0527e266fc7ca51c5f7cbd92e7758395bb9c811f70dbdf13870f2c214 | 2122 px moved, max 255
5_periodic_table.png | closed | 146639 | 12283 | 71728df0581188a5c12dbdddf66dd034d0217c6704d797f89b3f5bf4c05f8b97 | 2132 px moved, max 255
5_periodic_table.png | smart | 108776 | 12972 | 6392250d2062ace0f2f68aab66b8e02cca13d3d54c23b03ba346f111c5bce63e | 131 px moved, max 237
5_periodic_table.png | edges_fill | 149828 | 10578 | 96b5906bcca3b990d625e1d4f64032e2ad223c829aa961042da7fb8745ea4915 | 3177 px moved, max 255
5_periodic_table.png | setbg | 152081 | 10751 | cacf43f35f3ecea26931674572b447a35d7f8ab844b3f2e4b1ac286e0aa2c667 | 2637 px moved, max 239
5_periodic_table.png | variant | 158061 | 11000 | e6dc9946bff999d368c2633d08aa7b5a524e139854c468a351d6d87e7221d1da | 3851 px moved, max 239
6_stripes.png | off | 3083 | 229 | adce1e0e614b75757a3b81ab6faf8a39d9c24fddc950ab34c88599baa5198264 | identical
6_stripes.png | edges | 2973 | 555 | e90a92c225d502df3b81a9636fda99493a2e873b7b63b9745e90e162c5ce768b | identical
6_stripes.png | closed | 2973 | 431 | e90a92c225d502df3b81a9636fda99493a2e873b7b63b9745e90e162c5ce768b | identical
6_stripes.png | smart | 2329 | 368 | 42280bae707291e6bffa47f41f389dbb190f64e79e490c7b0a3f90f22cd583e8 | identical
6_stripes.png | edges_fill | 3163 | 322 | 386498c5a1abc73b577b856ecf0a2f32288d9837c54946200682ae598228a353 | identical
6_stripes.png | setbg | 3080 | 318 | 47d996902a3377f0ec65d439f0c4a21369cfffc182b40c494d524d148b4977a5 | identical
6_stripes.png | variant | 3138 | 351 | 9cf985157c1e09b105d35041efea4041ad8d265a4626829ce80f1057efe294ca | identical
7_letter_o.jpg | off | 67722 | 679 | 4d768ce1c843baad51d792f6ed7f4d40b1d7917fb28d2d7f1f7a4522144cb238 | identical
7_letter_o.jpg | edges | 51481 | 926 | 4fab386011947a9c9b5eb21677d266d75e0433c3f9b7a216728592fa6a7c993e | 26 px moved, max 60
7_letter_o.jpg | closed | 28121 | 811 | a01daa9233884b3a34bc988953aeb7c70360ec9dd16e0faf6a56c17ac457f93a | 89 px moved, max 213
7_letter_o.jpg | smart | 31832 | 770 | addc090777b0bfe2c293c0f27c28c680ee39f86d5d8149d22037385e84092f1c | 109 px moved, max 213
7_letter_o.jpg | edges_fill | 53788 | 856 | a88dd0ff55b1bc6097493b99715e3ed4ff66374e1107fa8a104a87e29d99bcda | 32 px moved, max 60
7_letter_o.jpg | setbg | 51618 | 949 | dcc9f8e13131ff56e218eea4007142757eec3f126d00abd065f746f4f68dd740 | 28 px moved, max 46
7_letter_o.jpg | variant | 55953 | 922 | 821c7e6ecef0e4bc41f2e9ed20f07927ecb3dd365c9694cfad1448bfcd6c120e | 40 px moved, max 70
